LSOA code (2011),LSOA name (2011),LSOA11 local name,2016 Ward bestfit based on Population Weighted Centroid,2017 Ward name bestfit based on Population Weighted Centroid,IMD2019 Score,England Rank (where 1 is most deprived),% England Rank,England Deprivation Decile,Bristol Rank out of 263 (where 1 is most deprived),Bristol Deprivation Decile
E01014522,Bristol 050D,Highridge,E05010889,Bishopsworth,40.799,4031,0.122731701,England decile 2,49,Bristol decile 2
E01014515,Bristol 050A,Highridge Common,E05010900,Hartcliffe & Withywood,40.681,4064,0.123736451,England decile 2,50,Bristol decile 2
E01014568,Bristol 057A,St Marks Road,E05010896,Easton,39.953,4274,0.130130313,England decile 2,51,Bristol decile 2
E01014660,Bristol 014A,Lockleaze North,E05010908,Lockleaze,39.247,4499,0.136980879,England decile 2,52,Bristol decile 2
E01014685,Bristol 028C,Whiteway,E05010910,St George Central,39.046,4560,0.138838144,England decile 2,53,Bristol decile 2
E01014643,Bristol 007C,Sea Mills South,E05010916,Stoke Bishop,38.928,4593,0.139842894,England decile 2,54,Bristol decile 3
E01033361,Bristol 039F,Bedminster West,E05010914,Southville,38.92,4598,0.139995128,England decile 2,55,Bristol decile 3
E01014629,Bristol 018D,Hillfields North,E05010903,Hillfields,38.789,4638,0.141213007,England decile 2,56,Bristol decile 3
E01014602,Bristol 001B,Henbury,E05010901,Henbury & Brentry,38.754,4647,0.14148703,England decile 2,57,Bristol decile 3
E01014692,Bristol 002E,Fonthill,E05010913,Southmead,38.662,4677,0.142400438,England decile 2,58,Bristol decile 3
E01014526,Bristol 038D,Broomhill Road,E05010890,Brislington East,38.501,4726,0.14389234,England decile 2,59,Bristol decile 3
E01014636,Bristol 004D,Horfield Common,E05010904,Horfield,37.822,4934,0.150225308,England decile 2,60,Bristol decile 3
E01014694,Bristol 002G,Southmead North,E05010913,Southmead,37.63,4996,0.152113019,England decile 2,61,Bristol decile 3
E01014492,Bristol 008A,Shirehampton Centre,E05010886,Avonmouth & Lawrence Weston,37.207,5144,0.156619169,England decile 2,62,Bristol decile 3
E01014691,Bristol 002D,Southmead West,E05010913,Southmead,36.529,5368,0.163439289,England decile 2,63,Bristol decile 3
E01033353,Bristol 054B,Old Market and Temple Meads,E05010907,Lawrence Hill,36.378,5406,0.164596273,England decile 2,64,Bristol decile 3
E01033347,Bristol 023F,St Pauls Portland Square,E05010885,Ashley,36.303,5434,0.165448788,England decile 2,65,Bristol decile 3
E01014578,Bristol 044A,Wedmore Vale,E05010898,Filwood,36.224,5459,0.166209962,England decile 2,66,Bristol decile 3
E01014489,Bristol 023D,Lower Montpelier,E05010885,Ashley,35.292,5787,0.176196566,England decile 2,67,Bristol decile 3
E01014575,Bristol 019C,Eastville Park,E05010897,Eastville,35.093,5852,0.178175618,England decile 2,68,Bristol decile 3
E01014493,Bristol 008B,Barrow Hill,E05010886,Avonmouth & Lawrence Weston,34.717,5986,0.182255511,England decile 2,69,Bristol decile 3
E01014579,Bristol 045A,Novers,E05010898,Filwood,34.383,6107,0.185939593,England decile 2,70,Bristol decile 3
E01014565,Bristol 029A,Gilbert Road,E05010896,Easton,34.213,6176,0.188040434,England decile 2,71,Bristol decile 3
E01014661,Bristol 005D,Filton Avenue South,E05010908,Lockleaze,34.116,6222,0.189440994,England decile 2,72,Bristol decile 3
E01014529,Bristol 035B,St Annes Park,E05010890,Brislington East,34.094,6232,0.189745463,England decile 2,73,Bristol decile 3
E01014683,Bristol 028B,Clouds Hill,E05010910,St George Central,34.059,6245,0.190141274,England decile 2,74,Bristol decile 3
E01014659,Bristol 005C,Filton Avenue North,E05010908,Lockleaze,34.057,6246,0.190171721,England decile 2,75,Bristol decile 3
E01014630,Bristol 005A,Sheridan Road,E05010904,Horfield,33.99,6276,0.19108513,England decile 2,76,Bristol decile 3
E01032517,Bristol 001H,Crow Lane South,E05010901,Henbury & Brentry,33.943,6292,0.191572281,England decile 2,77,Bristol decile 3
E01014499,Bristol 008F,Avonmouth Village,E05010886,Avonmouth & Lawrence Weston,33.73,6363,0.193734015,England decile 2,78,Bristol decile 3
E01014626,Bristol 021C,Speedwell,E05010897,Eastville,33.378,6515,0.198361953,England decile 2,79,Bristol decile 3
E01014609,Bristol 047C,Two Acres,E05010902,Hengrove & Whitchurch Park,33.248,6571,0.200066983,England decile 3,80,Bristol decile 4
E01014664,Bristol 014C,Muller Road,E05010908,Lockleaze,32.264,6979,0.212489344,England decile 3,81,Bristol decile 4
E01014624,Bristol 018A,Lodge Hill,E05010903,Hillfields,32.256,6982,0.212580684,England decile 3,82,Bristol decile 4
E01014501,Bristol 041A,Ashton Vale,E05010887,Bedminster,32.114,7041,0.214377055,England decile 3,83,Bristol decile 4
E01014690,Bristol 002C,Southmead East,E05010913,Southmead,31.256,7419,0.225886007,England decile 3,84,Bristol decile 4
E01014498,Bristol 003B,Kingsweston Avenue,E05010886,Avonmouth & Lawrence Weston,31.158,7473,0.227530142,England decile 3,85,Bristol decile 4
E01014502,Bristol 039B,Bedminster Road,E05010898,Filwood,30.764,7668,0.2334673,England decile 3,86,Bristol decile 4
E01014682,Bristol 028A,West St George,E05010910,St George Central,30.5,7789,0.237151382,England decile 3,87,Bristol decile 4
E01014684,Bristol 029E,St Georges Park,E05010912,St George West,30.435,7821,0.238125685,England decile 3,88,Bristol decile 4
E01014601,Bristol 001A,Brentry West,E05010901,Henbury & Brentry,30.365,7858,0.239252223,England decile 3,89,Bristol decile 4
E01014600,Bristol 048D,Whitchurch Road,E05010900,Hartcliffe & Withywood,30.138,7965,0.242510047,England decile 3,90,Bristol decile 4
E01033352,Bristol 054A,The Dings,E05010907,Lawrence Hill,30.137,7966,0.242540494,England decile 3,91,Bristol decile 4
E01014588,Bristol 013A,Blackberry Hill,E05010899,Frome Vale,29.732,8149,0.248112288,England decile 3,92,Bristol decile 4
E01014572,Bristol 019A,Fishponds Road,E05010897,Eastville,29.609,8195,0.249512849,England decile 3,93,Bristol decile 4
E01014687,Bristol 028E,East St George,E05010910,St George Central,29.223,8389,0.255419559,England decile 3,94,Bristol decile 4
E01014569,Bristol 057B,Robertson Road,E05010896,Easton,29.126,8449,0.257246377,England decile 3,95,Bristol decile 4
E01014566,Bristol 029B,Church Road,E05010896,Easton,28.705,8649,0.263335769,England decile 3,96,Bristol decile 4
E01014673,Bristol 027A,Two Mile Hill East,E05010910,St George Central,28.68,8667,0.263883814,England decile 3,97,Bristol decile 4
E01014695,Bristol 036A,Bower Ashton,E05010914,Southville,28.371,8839,0.269120692,England decile 3,98,Bristol decile 4
E01014730,Bristol 037A,Lower Totterdown,E05010918,Windmill Hill,28.359,8845,0.269303374,England decile 3,99,Bristol decile 4
E01033355,Bristol 054C,Redcliffe North,E05010892,Central,28.305,8878,0.270308123,England decile 3,100,Bristol decile 4
E01014674,Bristol 027B,Burchells Green,E05010910,St George Central,28.174,8933,0.271982706,England decile 3,101,Bristol decile 4
E01014644,Bristol 007D,Sea Mills North,E05010916,Stoke Bishop,27.958,9056,0.275727682,England decile 3,102,Bristol decile 4
E01014612,Bristol 052B,Fortfield East,E05010902,Hengrove & Whitchurch Park,27.832,9132,0.278041651,England decile 3,103,Bristol decile 4
E01014590,Bristol 013C,Fishponds,E05010899,Frome Vale,27.576,9254,0.281756181,England decile 3,104,Bristol decile 4
E01014571,Bristol 012A,Whitefield Fishponds,E05010897,Eastville,27.504,9293,0.282943612,England decile 3,105,Bristol decile 4
E01014564,Bristol 055A,Chelsea Park,E05010896,Easton,27.355,9374,0.285409816,England decile 3,106,Bristol decile 4
E01014646,Bristol 042B,Knowle Park,E05010906,Knowle,27.295,9416,0.286688588,England decile 3,107,Bristol decile 5
E01014523,Bristol 038A,Allison Road,E05010890,Brislington East,27.171,9490,0.288941664,England decile 3,108,Bristol decile 5
E01014736,Bristol 040D,St Johns Lane,E05010918,Windmill Hill,26.6,9837,0.299506759,England decile 3,109,Bristol decile 5
E01014519,Bristol 046B,Bedminster Down,E05010889,Bishopsworth,26.329,9977,0.303769334,England decile 4,110,Bristol decile 5
E01014603,Bristol 001C,Brentry East,E05010901,Henbury & Brentry,26.169,10076,0.306783583,England decile 4,111,Bristol decile 5
E01014650,Bristol 044E,Broadwalk,E05010906,Knowle,25.945,10224,0.311289733,England decile 4,112,Bristol decile 5
E01014586,Bristol 012C,Oldbury Court,E05010899,Frome Vale,25.826,10297,0.313512361,England decile 4,113,Bristol decile 5
E01014622,Bristol 021A,Hillfields West,E05010903,Hillfields,25.765,10326,0.314395323,England decile 4,114,Bristol decile 5
E01033362,Bristol 039G,West Street East,E05010887,Bedminster,25.743,10340,0.314821581,England decile 4,115,Bristol decile 5
E01014686,Bristol 028D,Plummers Hill,E05010912,St George West,25.11,10698,0.325721593,England decile 4,116,Bristol decile 5
E01014521,Bristol 046D,Kings Head Park,E05010889,Bishopsworth,25.082,10716,0.326269638,England decile 4,117,Bristol decile 5
E01014699,Bristol 036D,Coronation Road West,E05010914,Southville,24.969,10787,0.328431373,England decile 4,118,Bristol decile 5
E01014567,Bristol 029C,Netham,E05010896,Easton,24.806,10881,0.331293387,England decile 4,119,Bristol decile 5
E01033344,Bristol 032E,Brandon Hill,E05010905,Hotwells & Harbourside,24.805,10883,0.331354281,England decile 4,120,Bristol decile 5
E01014645,Bristol 042A,Red Lion Hill,E05010906,Knowle,24.525,11053,0.336530264,England decile 4,121,Bristol decile 5
E01014570,Bristol 057C,Whitehall,E05010896,Easton,24.343,11159,0.339757642,England decile 4,122,Bristol decile 5
E01014681,Bristol 029D,Redfield,E05010912,St George West,24.262,11208,0.341249543,England decile 4,123,Bristol decile 5
E01014496,Bristol 008E,Avonmouth Docks,E05010886,Avonmouth & Lawrence Weston,24.218,11235,0.342071611,England decile 4,124,Bristol decile 5
E01014676,Bristol 027D,Kingsway,E05010910,St George Central,24.217,11238,0.342162952,England decile 4,125,Bristol decile 5
E01014607,Bristol 047A,Hengrove Park,E05010902,Hengrove & Whitchurch Park,23.974,11390,0.34679089,England decile 4,126,Bristol decile 5
E01014731,Bristol 037B,Upper Totterdown,E05010918,Windmill Hill,23.904,11426,0.347886981,England decile 4,127,Bristol decile 5
E01014632,Bristol 004B,Filton Road,E05010904,Horfield,23.887,11439,0.348282791,England decile 4,128,Bristol decile 5
E01014488,Bristol 023C,Upper Montpelier,E05010885,Ashley,23.618,11617,0.353702351,England decile 4,129,Bristol decile 5
E01014592,Bristol 013E,Staple Hill Road North,E05010899,Frome Vale,23.495,11699,0.356199001,England decile 4,130,Bristol decile 5
E01014587,Bristol 012D,Broomhill,E05010899,Frome Vale,23.49,11704,0.356351236,England decile 4,131,Bristol decile 5
E01014704,Bristol 049C,Woodleigh Gardens,E05010915,Stockwood,23.424,11746,0.357630009,England decile 4,132,Bristol decile 5
E01014527,Bristol 038E,School Road,E05010890,Brislington East,23.103,11984,0.364876385,England decile 4,133,Bristol decile 6
E01014623,Bristol 021B,Mayfield Park,E05010903,Hillfields,23.098,11989,0.36502862,England decile 4,134,Bristol decile 6
E01014540,Bristol 032B,City Centre and Queens Square,E05010892,Central,22.838,12154,0.370052369,England decile 4,135,Bristol decile 6
E01014576,Bristol 019D,Rose Green,E05010897,Eastville,22.77,12202,0.371513823,England decile 4,136,Bristol decile 6
E01014662,Bristol 010D,Horfield Sports Ground,E05010908,Lockleaze,22.357,12497,0.380495677,England decile 4,137,Bristol decile 6
E01033342,Bristol 025E,St James Barton,E05010892,Central,21.986,12787,0.389325295,England decile 4,138,Bristol decile 6
E01014495,Bristol 008D,Woodwell Road,E05010886,Avonmouth & Lawrence Weston,21.876,12862,0.391608817,England decile 4,139,Bristol decile 6
E01014485,Bristol 023A,Mina Road,E05010885,Ashley,21.709,12992,0.395566922,England decile 4,140,Bristol decile 6
E01033364,Bristol 039H,West Street West,E05010887,Bedminster,21.267,13349,0.406436488,England decile 5,141,Bristol decile 6
E01014665,Bristol 014D,Eastgate,E05010908,Lockleaze,21.266,13351,0.406497382,England decile 5,142,Bristol decile 6
E01014627,Bristol 021D,Chester Park,E05010903,Hillfields,21.051,13524,0.411764706,England decile 5,143,Bristol decile 6
E01014573,Bristol 019B,Upper Eastville,E05010897,Eastville,20.938,13598,0.414017781,England decile 5,144,Bristol decile 6
E01014675,Bristol 027C,Two Mile Hill West,E05010910,St George Central,20.687,13783,0.419650469,England decile 5,145,Bristol decile 6
E01014678,Bristol 033B,Nags Head Hill,E05010911,St George Troopers Hill,20.498,13932,0.424187066,England decile 5,146,Bristol decile 6
E01014500,Bristol 039A,Parson Street,E05010889,Bishopsworth,20.418,13997,0.426166119,England decile 5,147,Bristol decile 6
E01014720,Bristol 006C,Lake Road,E05010913,Southmead,20.409,14010,0.426561929,England decile 5,148,Bristol decile 6
E01014537,Bristol 035F,Eldonwall,E05010891,Brislington West,20.114,14247,0.433777859,England decile 5,149,Bristol decile 6
E01032516,Bristol 001G,Blaise,E05010901,Henbury & Brentry,19.971,14374,0.437644623,England decile 5,150,Bristol decile 6
E01014518,Bristol 046A,Ilchester Crescent,E05010889,Bishopsworth,19.818,14514,0.441907198,England decile 5,151,Bristol decile 6
E01014534,Bristol 043B,Kensington Park,E05010891,Brislington West,19.722,14604,0.444647424,England decile 5,152,Bristol decile 6
E01014633,Bristol 004C,Manor Farm,E05010904,Horfield,19.578,14739,0.448757764,England decile 5,153,Bristol decile 6
E01014707,Bristol 049F,Stockwood Lane South,E05010915,Stockwood,19.405,14910,0.453964194,England decile 5,154,Bristol decile 6
E01014613,Bristol 047E,Hengrove Lane,E05010902,Hengrove & Whitchurch Park,19.036,15211,0.46312873,England decile 5,155,Bristol decile 6
E01033350,Bristol 032G,Spike Island,E05010905,Hotwells & Harbourside,18.99,15252,0.464377055,England decile 5,156,Bristol decile 6
E01014708,Bristol 049G,Hazelbury,E05010915,Stockwood,18.909,15316,0.466325661,England decile 5,157,Bristol decile 6
E01014549,Bristol 034B,Cliftonwood,E05010893,Clifton,18.68,15519,0.472506394,England decile 5,158,Bristol decile 6
E01014532,Bristol 035E,Sandholme Road,E05010891,Brislington West,18.595,15583,0.474454999,England decile 5,159,Bristol decile 7
E01014548,Bristol 034A,Hotwells,E05010893,Clifton,18.282,15891,0.483832664,England decile 5,160,Bristol decile 7
E01014533,Bristol 043A,Bath Road,E05010891,Brislington West,18.077,16071,0.489313117,England decile 5,161,Bristol decile 7
E01014732,Bristol 037C,Wells Road,E05010918,Windmill Hill,17.875,16246,0.494641335,England decile 5,162,Bristol decile 7
E01014671,Bristol 020F,St Andrews Park,E05010885,Ashley,17.853,16268,0.495311168,England decile 5,163,Bristol decile 7
E01014530,Bristol 035C,Wootton Road,E05010890,Brislington East,17.817,16297,0.49619413,England decile 5,164,Bristol decile 7
E01014631,Bristol 004A,Monks Park,E05010904,Horfield,17.814,16300,0.496285471,England decile 5,165,Bristol decile 7
E01014641,Bristol 007A,Coombe Dingle East,E05010886,Avonmouth & Lawrence Weston,17.785,16327,0.497107539,England decile 5,166,Bristol decile 7
E01014524,Bristol 038B,Birchwood Road,E05010890,Brislington East,17.745,16362,0.498173182,England decile 5,167,Bristol decile 7
E01014679,Bristol 033C,Bryants Hill,E05010911,St George Troopers Hill,17.444,16600,0.505419559,England decile 6,168,Bristol decile 7
E01014614,Bristol 047F,Hengrove East,E05010902,Hengrove & Whitchurch Park,17.077,16919,0.51513214,England decile 6,169,Bristol decile 7
E01014487,Bristol 020A,Cromwell Road,E05010885,Ashley,16.847,17138,0.521800024,England decile 6,170,Bristol decile 7
E01014591,Bristol 013D,Downend West,E05010899,Frome Vale,16.804,17176,0.522957009,England decile 6,171,Bristol decile 7
E01014642,Bristol 007B,Coombe Dingle West,E05010886,Avonmouth & Lawrence Weston,16.676,17299,0.526701985,England decile 6,172,Bristol decile 7
E01032519,Bristol 018F,Staple Hill Road South,E05010903,Hillfields,16.178,17770,0.541042504,England decile 6,173,Bristol decile 7
E01014531,Bristol 035D,Sandy Park Road,E05010891,Brislington West,15.895,18045,0.549415418,England decile 6,174,Bristol decile 7
E01014542,Bristol 032C,University,E05010892,Central,15.672,18266,0.556144197,England decile 6,175,Bristol decile 7
E01014494,Bristol 008C,Shirehampton Portway,E05010886,Avonmouth & Lawrence Weston,15.638,18309,0.557453416,England decile 6,176,Bristol decile 7
E01014558,Bristol 022B,Cotham Hill,E05010894,Clifton Down,15.566,18383,0.559706491,England decile 6,177,Bristol decile 7
E01033345,Bristol 032F,The Centre,E05010892,Central,15.427,18522,0.563938619,England decile 6,178,Bristol decile 7
E01014555,Bristol 034D,Lower Clifton Hill,E05010893,Clifton,15.351,18589,0.565978565,England decile 6,179,Bristol decile 7
E01014508,Bristol 016B,Cricket Ground,E05010888,Bishopston & Ashley Down,15.31,18629,0.567196444,England decile 6,180,Bristol decile 7
E01014733,Bristol 040B,Windmill Hill West,E05010918,Windmill Hill,15.063,18856,0.574107904,England decile 6,181,Bristol decile 7
E01014563,Bristol 025D,Cotham Brow,E05010895,Cotham,14.984,18928,0.576300085,England decile 6,182,Bristol decile 7
E01014701,Bristol 036F,Coronation Road East,E05010914,Southville,14.494,19457,0.592406528,England decile 6,183,Bristol decile 7
E01014677,Bristol 033A,Crews Hole,E05010911,St George Troopers Hill,14.236,19709,0.600079162,England decile 7,184,Bristol decile 7
E01014520,Bristol 046C,Bridgwater Road,E05010889,Bishopsworth,13.98,19975,0.608178054,England decile 7,185,Bristol decile 7
E01014680,Bristol 033D,Conham Valley,E05010911,St George Troopers Hill,13.976,19981,0.608360736,England decile 7,186,Bristol decile 8
E01014734,Bristol 040C,Windmill Hill East,E05010918,Windmill Hill,13.868,20081,0.611405432,England decile 7,187,Bristol decile 8
E01014599,Bristol 048C,Headley Park,E05010889,Bishopsworth,13.832,20116,0.612471075,England decile 7,188,Bristol decile 8
E01014535,Bristol 043C,Callington Road,E05010891,Brislington West,13.71,20248,0.616490074,England decile 7,189,Bristol decile 8
E01014735,Bristol 037D,Victoria Park,E05010918,Windmill Hill,13.7,20265,0.617007673,England decile 7,190,Bristol decile 8
E01014635,Bristol 010B,Wessex Avenue,E05010904,Horfield,13.677,20291,0.617799294,England decile 7,191,Bristol decile 8
E01014551,Bristol 026A,Oakfield Grove,E05010894,Clifton Down,13.316,20720,0.63086104,England decile 7,192,Bristol decile 8
E01014702,Bristol 049A,Stockwood Lane North,E05010915,Stockwood,13.294,20740,0.631469979,England decile 7,193,Bristol decile 8
E01014539,Bristol 025A,Kingsdown Parade,E05010895,Cotham,13.043,21001,0.639416636,England decile 7,194,Bristol decile 8
E01014670,Bristol 020E,Zetland Road,E05010909,Redland,12.962,21086,0.642004628,England decile 7,195,Bristol decile 8
E01014648,Bristol 042C,Upper Knowle,E05010906,Knowle,12.852,21206,0.645658263,England decile 7,196,Bristol decile 8
E01014528,Bristol 035A,Newbridge Road,E05010890,Brislington East,12.846,21215,0.645932286,England decile 7,197,Bristol decile 8
E01014611,Bristol 052A,Fortfield West,E05010902,Hengrove & Whitchurch Park,12.794,21270,0.647606869,England decile 7,198,Bristol decile 8
E01014491,Bristol 020B,Ashley Hill,E05010885,Ashley,12.701,21380,0.650956035,England decile 7,199,Bristol decile 8
E01014504,Bristol 041B,Luckwell Road,E05010887,Bedminster,12.625,21462,0.653452685,England decile 7,200,Bristol decile 8
E01014512,Bristol 016E,Somerville Road,E05010888,Bishopston & Ashley Down,12.199,21945,0.668158568,England decile 7,201,Bristol decile 8
E01014562,Bristol 022E,Kensington Road,E05010895,Cotham,11.967,22212,0.676287906,England decile 7,202,Bristol decile 8
E01014505,Bristol 041C,Chessel Street,E05010887,Bedminster,11.937,22238,0.677079527,England decile 7,203,Bristol decile 8
E01014649,Bristol 042D,Redcatch,E05010906,Knowle,11.892,22285,0.678510535,England decile 7,204,Bristol decile 8
E01014722,Bristol 052C,Tanorth Road,E05010902,Hengrove & Whitchurch Park,11.863,22322,0.679637072,England decile 7,205,Bristol decile 8
E01014712,Bristol 015D,Stoke Bishop South,E05010916,Stoke Bishop,11.751,22463,0.683930094,England decile 7,206,Bristol decile 8
E01014538,Bristol 032A,Woodland Road,E05010892,Central,11.729,22489,0.684721715,England decile 7,207,Bristol decile 8
E01014525,Bristol 038C,Manworthy Road,E05010890,Brislington East,11.72,22495,0.684904397,England decile 7,208,Bristol decile 8
